season,athlete_id,athlete_display_name,athlete_first_name,athlete_last_name,athlete_position_abbreviation,athlete_jersey,team_id,team_display_name,category,stat_label,stat_name,stat_display_name,stat_description,display_value,value
2006,5166,,,,,,42,Hartford Hawks,averages,GP,gamesPlayed,Games Played,Games Played,8,8.0
2006,5166,,,,,,42,Hartford Hawks,averages,GS,gamesStarted,Games Started,The number of games started by an athlete.,0,0.0
2006,5166,,,,,,42,Hartford Hawks,averages,MIN,avgMinutes,Minutes Per Game,The average number of minutes per game.,0.0,0.0
2006,5166,,,,,,42,Hartford Hawks,averages,PTS,avgPoints,Points Per Game,The average number of points scored per game.,9.3,9.3
2006,5166,,,,,,42,Hartford Hawks,averages,REB,avgRebounds,Rebounds Per Game,The average rebounds per game.,5.4,5.4
2006,5166,,,,,,42,Hartford Hawks,averages,AST,avgAssists,Assists Per Game,The average assists per game.,1.5,1.5
2006,5166,,,,,,42,Hartford Hawks,averages,STL,avgSteals,Steals Per Game,The average steals per game.,1.1,1.1
2006,5166,,,,,,42,Hartford Hawks,averages,BLK,avgBlocks,Blocks Per Game,The average blocks per game.,1.6,1.6
2006,5166,,,,,,42,Hartford Hawks,averages,TO,avgTurnovers,Turnovers Per Game,The average turnovers committed per game.,2.0,2.0
2006,5166,,,,,,42,Hartford Hawks,averages,FG,avgFieldGoalsMade-avgFieldGoalsAttempted,Field Goals Made-Attempted Per Game,The average field goals made per game.-The average field goals attempted per game.,3.1-5.6,
2006,5166,,,,,,42,Hartford Hawks,averages,FG%,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,55.6,55.6
2006,5166,,,,,,42,Hartford Hawks,averages,3PT,avgThreePointFieldGoalsMade-avgThreePointFieldGoalsAttempted,3-Point Field Goals Made-Attempted Per Game,The average three point field goals made per game.-The average three point field goals attempted per game.,0.0-0.0,
2006,5166,,,,,,42,Hartford Hawks,averages,3P%,threePointFieldGoalPct,3-Point Field Goal Percentage,The ratio of 3pt field goals made to 3pt field goals attempted: 3PM / 3PA.,0.0,0.0
2006,5166,,,,,,42,Hartford Hawks,averages,FT,avgFreeThrowsMade-avgFreeThrowsAttempted,Free Throws Made-Attempted Per Game,The average free throw shots made per game.-The average free throw shots attempted per game.,3.0-4.8,
2006,5166,,,,,,42,Hartford Hawks,averages,FT%,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,63.2,63.2
2006,5166,,,,,,42,Hartford Hawks,averages,PF,avgFouls,Fouls Per Game,The average fouls committed per game.,1.8,1.8
2006,5166,,,,,,42,Hartford Hawks,averages,OR,avgOffensiveRebounds,Offensive Rebounds Per Game,The average offensive rebounds per game.,1.0,1.0
2006,5166,,,,,,42,Hartford Hawks,averages,DR,avgDefensiveRebounds,Defensive Rebounds Per Game,The average defensive rebounds per game.,4.4,4.4
2006,5166,,,,,,42,Hartford Hawks,totals,PTS,points,Points,The number of points scored.,74,74.0
2006,5166,,,,,,42,Hartford Hawks,totals,OR,offensiveRebounds,Offensive Rebounds,The number of times when the offense obtains the possession of the ball after a missed shot.,8,8.0
2006,5166,,,,,,42,Hartford Hawks,totals,DR,defensiveRebounds,Defensive Rebounds,The number of times when the defense obtains the possession of the ball after a missed shot by the offense.,35,35.0
2006,5166,,,,,,42,Hartford Hawks,totals,REB,totalRebounds,Rebounds,The total number of rebounds for a team or player,43,43.0
2006,5166,,,,,,42,Hartford Hawks,totals,AST,assists,Assists,"The number of times a player who passes the ball to a teammate in a way that leads to a score by field goal, meaning that he or she was ""assisting"" in the basket. There is some judgment involved in deciding whether a passer should be credited with an assist.",12,12.0
2006,5166,,,,,,42,Hartford Hawks,totals,STL,steals,Steals,The number of times a defensive player forced a turnover by intercepting or deflecting a pass or a dribble of an offensive player.,9,9.0
2006,5166,,,,,,42,Hartford Hawks,totals,BLK,blocks,Blocks,"Short for blocked shot, number of times when a defensive player legally deflects a field goal attempt from an offensive player.",13,13.0
2006,5166,,,,,,42,Hartford Hawks,totals,TO,turnovers,Turnovers,The number of times a player loses possession to the other team.,16,16.0
2006,5166,,,,,,42,Hartford Hawks,totals,FG,fieldGoalsMade-fieldGoalsAttempted,Field Goals Made-Attempted,The number of times a 2pt field goal was made.-The number of times a 2pt field goal was attempted.,25-45,
2006,5166,,,,,,42,Hartford Hawks,totals,FG%,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,55.6,55.6
2006,5166,,,,,,42,Hartford Hawks,totals,3PT,threePointFieldGoalsMade-threePointFieldGoalsAttempted,3-Point Field Goals Made-Attempted,The number of times a 3pt field goal was made.-The number of times a 3pt field goal was attempted.,0-0,
2006,5166,,,,,,42,Hartford Hawks,totals,3P%,threePointFieldGoalPct,3-Point Field Goal Percentage,The ratio of 3pt field goals made to 3pt field goals attempted: 3PM / 3PA.,0.0,0.0
2006,5166,,,,,,42,Hartford Hawks,totals,FT,freeThrowsMade-freeThrowsAttempted,Free Throws Made-Attempted,The number of times a free throw was made.-The number of times a free throw was attempted.,24-38,
2006,5166,,,,,,42,Hartford Hawks,totals,FT%,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,63.2,63.2
2006,5166,,,,,,42,Hartford Hawks,totals,PF,fouls,Fouls,The number of times a player had illegal contact with the opponent.,14,14.0
2006,5166,,,,,,42,Hartford Hawks,miscellaneous,DD2,doubleDouble,Double Double,"The number of times double digit values were accumulated in 2 of the following categories: points, rebounds, assists, steals, and blocked shots",0,0.0
2006,5166,,,,,,42,Hartford Hawks,miscellaneous,TD3,tripleDouble,Triple Double,"The number of times double digit values were accumulated in 3 of the following categories: points, rebounds, assists, steals, and blocked shots",0,0.0
2006,5166,,,,,,42,Hartford Hawks,miscellaneous,AST/TO,assistTurnoverRatio,Assist To Turnover Ratio,The average number of assists a player or team records per turnover,0.8,0.8
2006,5166,,,,,,42,Hartford Hawks,miscellaneous,STL/TO,stealTurnoverRatio,Steal To Turnover Ratio,The number of steals per turnover,0.6,0.6
2006,5166,,,,,,42,Hartford Hawks,miscellaneous,SC-EFF,scoringEfficiency,Scoring Efficiency,The efficiency with which a team or player scores the basketball.,1.644,1.644
2006,5166,,,,,,42,Hartford Hawks,miscellaneous,SH-EFF,shootingEfficiency,Shooting Efficiency,The efficiency with which a team or player shoots the basketball.,0.56,0.56
2006,5166,,,,,,42,Hartford Hawks,miscellaneous,TECH,technicalFouls,Technical Fouls,The number of times an player or coach was called for a technical foul (unsportsmanlike conduct or violations).,0,0.0
2006,5166,,,,,,42,Hartford Hawks,miscellaneous,DQ,disqualifications,Disqualifications,The number of times a player reached the foul limit.,0,0.0
2006,5166,,,,,,42,Hartford Hawks,miscellaneous,EJECT,ejections,Ejections,The number of times a player or coach is removed from the game as a result of a serious offense.,0,0.0
2006,5349,,,,,,344,Mississippi State Bulldogs,averages,GP,gamesPlayed,Games Played,Games Played,1,1.0
2006,5349,,,,,,344,Mississippi State Bulldogs,averages,GS,gamesStarted,Games Started,The number of games started by an athlete.,0,0.0
2006,5349,,,,,,344,Mississippi State Bulldogs,averages,MIN,avgMinutes,Minutes Per Game,The average number of minutes per game.,0.0,0.0
2006,5349,,,,,,344,Mississippi State Bulldogs,averages,PTS,avgPoints,Points Per Game,The average number of points scored per game.,0.0,0.0
2006,5349,,,,,,344,Mississippi State Bulldogs,averages,REB,avgRebounds,Rebounds Per Game,The average rebounds per game.,1.0,1.0
2006,5349,,,,,,344,Mississippi State Bulldogs,averages,AST,avgAssists,Assists Per Game,The average assists per game.,0.0,0.0
2006,5349,,,,,,344,Mississippi State Bulldogs,averages,STL,avgSteals,Steals Per Game,The average steals per game.,0.0,0.0
2006,5349,,,,,,344,Mississippi State Bulldogs,averages,BLK,avgBlocks,Blocks Per Game,The average blocks per game.,0.0,0.0
2006,5349,,,,,,344,Mississippi State Bulldogs,averages,TO,avgTurnovers,Turnovers Per Game,The average turnovers committed per game.,1.0,1.0
2006,5349,,,,,,344,Mississippi State Bulldogs,averages,FG,avgFieldGoalsMade-avgFieldGoalsAttempted,Field Goals Made-Attempted Per Game,The average field goals made per game.-The average field goals attempted per game.,0.0-0.0,
2006,5349,,,,,,344,Mississippi State Bulldogs,averages,FG%,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,0.0,0.0
2006,5349,,,,,,344,Mississippi State Bulldogs,averages,3PT,avgThreePointFieldGoalsMade-avgThreePointFieldGoalsAttempted,3-Point Field Goals Made-Attempted Per Game,The average three point field goals made per game.-The average three point field goals attempted per game.,0.0-0.0,
2006,5349,,,,,,344,Mississippi State Bulldogs,averages,3P%,threePointFieldGoalPct,3-Point Field Goal Percentage,The ratio of 3pt field goals made to 3pt field goals attempted: 3PM / 3PA.,0.0,0.0
2006,5349,,,,,,344,Mississippi State Bulldogs,averages,FT,avgFreeThrowsMade-avgFreeThrowsAttempted,Free Throws Made-Attempted Per Game,The average free throw shots made per game.-The average free throw shots attempted per game.,0.0-0.0,
2006,5349,,,,,,344,Mississippi State Bulldogs,averages,FT%,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,0.0,0.0
2006,5349,,,,,,344,Mississippi State Bulldogs,averages,PF,avgFouls,Fouls Per Game,The average fouls committed per game.,0.0,0.0
2006,5349,,,,,,344,Mississippi State Bulldogs,averages,OR,avgOffensiveRebounds,Offensive Rebounds Per Game,The average offensive rebounds per game.,0.0,0.0
2006,5349,,,,,,344,Mississippi State Bulldogs,averages,DR,avgDefensiveRebounds,Defensive Rebounds Per Game,The average defensive rebounds per game.,1.0,1.0
2006,5349,,,,,,344,Mississippi State Bulldogs,totals,PTS,points,Points,The number of points scored.,0,0.0
2006,5349,,,,,,344,Mississippi State Bulldogs,totals,OR,offensiveRebounds,Offensive Rebounds,The number of times when the offense obtains the possession of the ball after a missed shot.,0,0.0
