id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_conference_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_conference_id,away_score,away_winner,game_id,season,season_type,tournament_id,status_type_alt_detail,groups_id,groups_name,groups_short_name,groups_is_conference,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,game_date_time,game_date,PBP,player_box
320940239,s:40~l:54~e:320940239~c:320940239,2012-04-04T00:30Z,0,TRUE,TRUE,FALSE,FALSE,2012-04-04T00:30Z,event,NCAA WOMEN'S CHAMPIONSHIP - NATIONAL CHAMPIONSHIP AT DENVER,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,239,s:40~l:54~t:239,Baylor,Bears,BAY,Baylor Bears,Baylor,154734,ffb81c,TRUE,1049,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,8,80,TRUE,87,s:40~l:54~t:87,Notre Dame,Fighting Irish,ND,Notre Dame Fighting Irish,Notre Dame,0c2340,c99700,TRUE,282,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,4,61,FALSE,320940239,2012,3,22,,,,,,,,,,,,2012-04-04T00:30:00Z,2012-04-03,TRUE,FALSE
320920239,s:40~l:54~e:320920239~c:320920239,2012-04-02T01:18Z,0,TRUE,TRUE,FALSE,FALSE,2012-04-02T01:18Z,event,NCAA WOMEN'S CHAMPIONSHIP - FINAL FOUR AT DENVER,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,239,s:40~l:54~t:239,Baylor,Bears,BAY,Baylor Bears,Baylor,154734,ffb81c,TRUE,1049,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,8,59,TRUE,24,s:40~l:54~t:24,Stanford,Cardinal,STAN,Stanford Cardinal,Stanford,8c1515,ffffff,TRUE,820,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,21,47,FALSE,320920239,2012,3,22,,,,,,,,,,,,2012-04-02T01:18:00Z,2012-04-01,TRUE,FALSE
320920087,s:40~l:54~e:320920087~c:320920087,2012-04-01T22:30Z,0,TRUE,TRUE,FALSE,FALSE,2012-04-01T22:30Z,event,NCAA WOMEN'S CHAMPIONSHIP - FINAL FOUR AT DENVER,,,0,0:00,3,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,2,87,s:40~l:54~t:87,Notre Dame,Fighting Irish,ND,Notre Dame Fighting Irish,Notre Dame,0c2340,c99700,TRUE,282,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,4,83,TRUE,41,s:40~l:54~t:41,UConn,Huskies,CONN,UConn Huskies,UConn,0c2340,f1f2f3,TRUE,1956,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,4,75,FALSE,320920087,2012,3,22,OT,,,,,,,,,,,2012-04-01T22:30:00Z,2012-04-01,TRUE,FALSE
320910197,s:40~l:54~e:320910197~c:320910197,2012-03-31T19:00Z,0,TRUE,FALSE,FALSE,FALSE,2012-03-31T19:00Z,event,WOMEN'S NIT - CHAMPIONSHIP,37,BM,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,197,s:40~l:54~t:197,Oklahoma State,Cowgirls,OKST,Oklahoma State Cowgirls,Oklahoma St,ff6500,000000,TRUE,1992,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,8,75,TRUE,256,s:40~l:54~t:256,James Madison,Dukes,JMU,James Madison Dukes,James Madison,450084,cbb778,TRUE,7107,https://a.espncdn.com/i/teamlogos/ncaa/500/256.png,10,68,FALSE,320910197,2012,3,37,,,,,,1992,Gallagher-Iba Arena,Stillwater,OK,13611,TRUE,2012-03-31T19:00:00Z,2012-03-31,TRUE,FALSE
320880197,s:40~l:54~e:320880197~c:320880197,2012-03-29T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2012-03-29T00:00Z,event,WOMEN'S NIT - SEMIFINAL,37,BM,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,197,s:40~l:54~t:197,Oklahoma State,Cowgirls,OKST,Oklahoma State Cowgirls,Oklahoma St,ff6500,000000,TRUE,1992,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,8,73,TRUE,301,s:40~l:54~t:301,San Diego,Toreros,USD,San Diego Toreros,San Diego,2f99d4,2f99d4,TRUE,501,https://a.espncdn.com/i/teamlogos/ncaa/500/301.png,29,57,FALSE,320880197,2012,3,37,,,,,,1992,Gallagher-Iba Arena,Stillwater,OK,13611,TRUE,2012-03-29T00:00:00Z,2012-03-28,TRUE,FALSE
320880256,s:40~l:54~e:320880256~c:320880256,2012-03-28T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2012-03-28T23:00Z,event,WOMEN'S NIT - SEMIFINAL,37,BM,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,256,s:40~l:54~t:256,James Madison,Dukes,JMU,James Madison Dukes,James Madison,450084,cbb778,TRUE,7107,https://a.espncdn.com/i/teamlogos/ncaa/500/256.png,10,74,TRUE,183,s:40~l:54~t:183,Syracuse,Orange,SYR,Syracuse Orange,Syracuse,ff6500,000e54,TRUE,1964,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,4,71,FALSE,320880256,2012,3,37,,,,,,1980,JMU Convocation Center,Harrisonburg,VA,6426,TRUE,2012-03-28T23:00:00Z,2012-03-28,TRUE,FALSE
320870087,s:40~l:54~e:320870087~c:320870087,2012-03-28T01:14Z,0,TRUE,TRUE,FALSE,FALSE,2012-03-28T01:14Z,event,NCAA WOMEN'S CHAMPIONSHIP - RALEIGH REGION - ELITE 8 AT RALEIGH NC,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,87,s:40~l:54~t:87,Notre Dame,Fighting Irish,ND,Notre Dame Fighting Irish,Notre Dame,0c2340,c99700,TRUE,282,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,4,80,TRUE,120,s:40~l:54~t:120,Maryland,Terrapins,MD,Maryland Terrapins,Maryland,D5002B,ffcd00,TRUE,2133,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,2,49,FALSE,320870087,2012,3,22,,,,,,,,,,,,2012-03-28T01:14:00Z,2012-03-27,TRUE,FALSE
320870041,s:40~l:54~e:320870041~c:320870041,2012-03-27T23:00Z,0,TRUE,TRUE,FALSE,FALSE,2012-03-27T23:00Z,event,NCAA WOMEN'S CHAMPIONSHIP - KINGSTON REGION - ELITE 8 AT KINGSTON RI,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,41,s:40~l:54~t:41,UConn,Huskies,CONN,UConn Huskies,UConn,0c2340,f1f2f3,TRUE,1956,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,4,80,TRUE,96,s:40~l:54~t:96,Kentucky,Wildcats,UK,Kentucky Wildcats,Kentucky,005DAA,ffffff,TRUE,2100,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,23,65,FALSE,320870041,2012,3,22,,,,,,2179,Ryan Center,Kingston,RI,8000,TRUE,2012-03-27T23:00:00Z,2012-03-27,TRUE,FALSE
320860024,s:40~l:54~e:320860024~c:320860024,2012-03-27T01:00Z,0,TRUE,TRUE,FALSE,FALSE,2012-03-27T01:00Z,event,NCAA WOMEN'S CHAMPIONSHIP - FRESNO REGION - ELITE 8 AT FRESNO CA,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,24,s:40~l:54~t:24,Stanford,Cardinal,STAN,Stanford Cardinal,Stanford,8c1515,ffffff,TRUE,820,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,21,81,TRUE,150,s:40~l:54~t:150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,013088,ffffff,TRUE,1914,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,2,69,FALSE,320860024,2012,3,22,,,,,,,,,,,,2012-03-27T01:00:00Z,2012-03-26,TRUE,FALSE
320860239,s:40~l:54~e:320860239~c:320860239,2012-03-26T23:00Z,0,TRUE,TRUE,FALSE,FALSE,2012-03-26T23:00Z,event,NCAA WOMEN'S CHAMPIONSHIP - DES MOINES REGION - ELITE 8 AT DES MOINES IA,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,239,s:40~l:54~t:239,Baylor,Bears,BAY,Baylor Bears,Baylor,154734,ffb81c,TRUE,1049,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,8,77,TRUE,2633,s:40~l:54~t:2633,Tennessee,Lady Volunteers,TENN,Tennessee Lady Volunteers,Tennessee,ff8200,ffffff,TRUE,2044,https://a.espncdn.com/i/teamlogos/ncaa/500/2633_ncw.png,23,58,FALSE,320860239,2012,3,22,,,,,,,,,,,,2012-03-26T23:00:00Z,2012-03-26,TRUE,FALSE
320850096,s:40~l:54~e:320850096~c:320850096,2012-03-25T23:05Z,0,TRUE,TRUE,FALSE,FALSE,2012-03-25T23:05Z,event,NCAA WOMEN'S CHAMPIONSHIP - KINGSTON REGION - SWEET 16 AT KINGSTON RI,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,96,s:40~l:54~t:96,Kentucky,Wildcats,UK,Kentucky Wildcats,Kentucky,005DAA,ffffff,TRUE,2100,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,23,79,TRUE,2250,s:40~l:54~t:2250,Gonzaga,Bulldogs,GONZ,Gonzaga Bulldogs,Gonzaga,041e42,c8102e,TRUE,1979,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,29,62,FALSE,320850096,2012,3,22,,,,,,2179,Ryan Center,Kingston,RI,8000,TRUE,2012-03-25T23:05:00Z,2012-03-25,TRUE,FALSE
