season,row_count,generated_at_utc,source_endpoint
2004,9431,2026-07-29 10:18:51 UTC,
2005,17113,2026-07-29 10:18:59 UTC,
2006,37699,2026-07-29 10:19:08 UTC,
2007,71911,2026-07-29 10:19:23 UTC,
2008,275637,2026-07-29 10:19:47 UTC,
2009,195912,2026-07-29 10:20:53 UTC,
2010,143088,2026-07-29 10:21:50 UTC,
2011,108937,2026-07-29 10:22:28 UTC,
2012,223250,2026-07-29 10:23:00 UTC,
2013,280321,2026-07-29 10:23:59 UTC,
2014,239798,2026-07-29 10:24:49 UTC,
2015,231742,2026-07-29 10:25:53 UTC,
2016,255435,2026-07-29 10:26:56 UTC,
2017,243424,2026-07-29 10:28:08 UTC,
2018,237615,2026-07-29 10:29:18 UTC,
2019,234861,2026-07-29 10:30:28 UTC,
2020,750351,2026-07-29 10:31:43 UTC,
2021,542119,2026-07-29 10:34:55 UTC,
2022,799239,2026-07-29 10:37:06 UTC,
2023,855000,2026-07-29 10:40:20 UTC,
2024,867657,2026-07-29 10:43:08 UTC,
2025,804750,2026-07-29 10:46:39 UTC,
2026,907805,2026-07-29 10:49:50 UTC,
