season,athlete_id,guid,uid,slug,type,first_name,last_name,full_name,display_name,short_name,height,display_height,weight,display_weight,age,date_of_birth,birth_city,birth_state,birth_country,jersey,position_id,position_name,position_abbreviation,position_display_name,college_id,current_team_id,headshot_href,experience_years,status_id,status_name,status_type,draft_year,draft_round,draft_selection,active
2008,491,e7698dbd-e76c-ad41-a39c-af6f7458ca95,s:40~l:54~a:491,dru-bishop,basketball,Dru,Bishop,Dru Bishop,Dru Bishop,D. Bishop,,,,,,,,,,,0,Not Available,NA,Not Available,2199,,,,2,Inactive,inactive,,,,false
2008,2466,c0d3c9dd-9127-5507-ef57-c3dcedc43bd5,s:40~l:54~a:2466,sabrina-keys,basketball,Sabrina,Keys,Sabrina Keys,Sabrina Keys,S. Keys,73.0,"6' 1""",,,,,,,,,0,Not Available,NA,Not Available,2509,,,2,2,Inactive,inactive,,,,false
2008,3152,5433c88f-1b7c-cec6-4b90-b359a73de94b,s:40~l:54~a:3152,lindsey-bufford,basketball,Lindsey,Bufford,Lindsey Bufford,Lindsey Bufford,L. Bufford,,,,,,,,,,,0,Not Available,NA,Not Available,2466,,,1,2,Inactive,inactive,,,,false
2008,3725,c652ea97-4d93-e693-bf53-84693f1a765e,s:40~l:54~a:3725,indi-johnson,basketball,Indi,Johnson,Indi Johnson,Indi Johnson,I. Johnson,74.0,"6' 2""",,,,,,,,,0,Not Available,NA,Not Available,2509,,,1,2,Inactive,inactive,,,,false
2008,3729,3233b979-c7d5-00d6-793a-7ff337775f6c,s:40~l:54~a:3729,nastassja-levingston,basketball,Nastassja,Levingston,Nastassja Levingston,Nastassja Levingston,N. Levingston,67.0,"5' 7""",,,,,,,,,0,Not Available,NA,Not Available,2348,,,1,2,Inactive,inactive,,,,false
2008,3740,601a9a45-8615-b683-885b-a9cafe1e7804,s:40~l:54~a:3740,twiggy-mcintyre,basketball,Twiggy,McIntyre,Twiggy McIntyre,Twiggy McIntyre,T. McIntyre,65.0,"5' 5""",,,,,,,,,0,Not Available,NA,Not Available,2306,,,1,2,Inactive,inactive,,,,false
2008,3808,bdd6c2c2-86bd-79f9-ebd1-44d5ed0e0dd0,s:40~l:54~a:3808,angela-brown,basketball,Angela,Brown,Angela Brown,Angela Brown,A. Brown,77.0,"6' 5""",,,,,,,,,0,Not Available,NA,Not Available,295,,,1,2,Inactive,inactive,,,,false
2008,3811,692f4ab5-0004-5dd2-2724-49a2febbc48f,s:40~l:54~a:3811,kira-mowen,basketball,Kira,Mowen,Kira Mowen,Kira Mowen,K. Mowen,69.0,"5' 9""",,,,,,,,,0,Not Available,NA,Not Available,356,,,1,2,Inactive,inactive,,,,false
2008,3848,84927a13-b77c-aea3-1b03-f744e72506d2,s:40~l:54~a:3848,jenna-lohse,basketball,Jenna,Lohse,Jenna Lohse,Jenna Lohse,J. Lohse,74.0,"6' 2""",,,,,,,,,0,Not Available,NA,Not Available,2628,,,1,2,Inactive,inactive,,,,false
2008,3849,ebee6c41-83fe-3662-9996-cdc83688cce8,s:40~l:54~a:3849,adrianne-ross,basketball,Adrianne,Ross,Adrianne Ross,Adrianne Ross,A. Ross,68.0,"5' 8""",,,,,,,,,0,Not Available,NA,Not Available,2628,,,1,2,Inactive,inactive,,,,false
